title,lyric,themes,reference,url
The Blessing,"Verse The Lord bless you and keep you Make His face shine u pon you And be gracious to you The Lord turn His face toward you And give you peace Interlude REPEAT VERSE Chorus A - men A men, A men A - men A men, A men REPEAT VERSE REPEAT CHORUS X2 Interlude Bridge 1 May His favor be upon you And a thousand generations And your family and your children And their children and their children May His favor be upon you And a thousand generations And your family and your children And their children and their children REPEAT BRIDGE 1 Bridge 2 May His presence go before you And behind you and beside you All a round you and within you He is with you he is with you In the morning in the evening In your coming and your going In your weeping and rejoicing He is for you He is for you Tag He is for you He is for you He is for you He is for you He is for you He is for you He is for you He is for you REPEAT CHORUS Bridge 3 May His favor be upon you And a thousand generations And your family and your children And their children and their children May His presence go before you And behind you and beside you All a round you and within you He is with you he is with you In the morning in the evening In your coming and your going In your weeping and rejoicing He is for you He is for you REPEAT CHORUS & BRIDGE Freely","['Adoration & Praise', 'Faith & Trust', 'Gods Attributes', 'Peace & Hope', 'Prayer & Renewal']","['Num 6.24-26', 'Exod 33.14']",https://www.worshiptogether.com/songs/the-blessing-kari-jobe-cody-carnes-elevation-worship/
There's Nothing That Our God Can't Do,"Intro X2 Verse 1 Just one word You calm the storm that surrou nds me Just one word The darkness has to retre at Just one touch I feel the presence of he aven Just one touch My eyes were opened to see My heart can’t help but believe Chorus 1 There’s nothing that our God can’t do There’s not a mountain that He can’t move Oh praise the na me That makes a w ay There’s nothing that our God can’t do Verse 2 Just one word You heal what’s broken ins ide me Just one word And you revive every dr eam Just one touch I feel the power of he aven Just one touch My eyes were opened to see My heart can’t help but b elieve Chorus 2 There’s nothing that our God can’t do There’s not a mountain that He can’t move Oh praise the na me That makes a w ay There’s nothing that our God can’t do There’s nothing that our God can’t do There’s not a prison wall He can’t break through Oh praise the na me That makes a w ay There’s nothing that our God can’t do Interlude Bridge I will believe, for greater things There’s no power like the power of Jesus Let faith arise, let all agree There’s no power like the power of Jesus I will believe, for greater things There’s no power like the power of Jesus Let faith arise, let all agree There’s no power like the power of Jesus I will believe, for greater things There’s no power like the power of Jesus Let faith arise, let all agree There’s no power like His power REPEAT Chorus 2 Outro X2","['Adoration & Praise', 'Call to Worship', 'Faith & Trust', 'Gods Attributes']","['Luke 1.37', 'Matt 19.26', 'Job 42.1-2']",https://www.worshiptogether.com/songs/theres-nothing-that-our-god-cant-do-passion/
Goodness Of God,"Intro Verse 1 I love You Lord Oh Your mercy never fails me All my days I've been held in Your hands From the moment that I wake up Until I lay my head I will sing of the g oodness of God Chorus 1 All my life You have been faithful All my life You have been so, so good With every breath that I am able I will sing of the g oodness of God Verse 2 I love Your voice You have led me through the fire In darkest nights You are close like no other I've known You as a father I've known You as a friend I have lived in the goodness of God REPEAT CHORUS Bridge Your goodness is running after It’s running after me Your goodness is running after It’s running after me With my life laid down I’m sur rendered now I give You every thing Your goodness is running after It’s running after me REPEAT BRIDGE Interlude REPEAT CHORUS 1 Chorus 2 All my life You have been faithful All my life You have been so, so good With every breath that I am able I will sing of the g oodness of God Tag I will sing of the g oodness of God","['Adoration & Praise', 'Call to Worship', 'Commitment & Dedication', 'Gods Attributes']","['Ps 40.9-11', 'Exod 33.19', 'Ps 146.2']",https://www.worshiptogether.com/songs/goodness-of-god-bethel/
Nothing Else,"Intro Chorus I'm caught up in Your presence I just want to sit here at Your feet I'm caught up in this holy mom ent I never want to le ave Oh, I'm not here for blessings Jesus, You don't owe me anything More than any thing that You can do I just want You Verse 1 I'm sorry when I've just gone through the motions I'm sorry when I just sang another song Take me back to where we started I open up my heart to You Verse 2 I'm sorry when I've come with my agenda I'm sorry when I forgot that You're enough Take me back to where we started I open up my heart to You Chorus I'm caught up in Your presence I just want to sit here at Your feet I'm caught up in this holy mom ent I never want to le ave Oh, I'm not here for blessings Jesus, You don't owe me anything More than any thing that You can do I just want You Bridge X3 I just want You Nothing else, nothing else Nothing else will do I just want You Nothing else, nothing else Nothing else will do End Chord","['Call to Worship', 'Commitment & Dedication', 'Prayer & Renewal']","['Jer 29.13', 'Ps 42.1-2']",https://www.worshiptogether.com/songs/nothing-else-cody-carnes/
See A Victory,Intro Verse 1 The weapon may be formed but it won’t p rosper When the darkness falls it won’t prevail Cause the God I serve knows only how to triumph My God will never f ail My God will never f ail Chorus I’m gonna see a victory I’m gonna see a victory For the battle belongs to You L ord I’m gonna see a victory I’m gonna see a victory For the battle belongs to You L ord Turn Verse 2 There’s power in the m ighty Name of Jesus Every war He wages He wi ll win I’m not backing d own from any giant I know how this story e nds I know how this story e nds REPEAT CHORUS X2 Interlude Bridge 1 You take what the enemy meant for evil And You turn i t for g ood You turn it for g ood You take what the enemy meant for evil And You turn i t for g ood You turn it for g ood REPEAT BRIDGE 1 Bridge 2 You take what the enemy meant for evil And You turn it for g ood You turn it for g ood You take what the enemy meant for evil And You turn it for g ood You turn it for g ood REPEAT CHORUS X2 REPEAT BRIDGE 2 Outro,"['Adoration & Praise', 'Gods Attributes', 'Peace & Hope', 'Easter']","['Deut 28.7', 'Ps 138.7', '2 Chron 20.22']",https://www.worshiptogether.com/songs/see-a-victory-elevation-worship/
Holy Water,"Intro Verse 1 God, I’m on my knees again God, I’m begging please again I ne ed You Oh, I ne ed You Walking down these desert roads Water for my thirsty soul I ne ed You Oh, I ne ed You Chorus Your forgiveness Is like sweet, sweet honey on my lips Like the sound of a symphony to my ears Like holy water on my skin Turnaround Verse 2 Dead man walking, slave to sin I wanna know about being born again I ne ed You O God, I ne ed You So take me to the riverside Take me under, baptize I ne ed You O God, I ne ed You, oh! Chorus Your forgiveness Is like sweet, sweet honey on m y lips Like the sound of a symphony to my ears Like holy water on m y skin Turnaround Bridge I don’t wanna abuse Your grace Go d, I need it every day It’s the o nly thing that ever really Ma kes me wanna change REPEAT BRIDGE X3 Bridge 2 I don’t wanna abuse Your gr ace Go d, I need it every day It’s the o nly thing that e ver really M akes me w anna ch ange Chorus Your for giveness Is like sweet, sweet honey Is like sweet, sweet honey on my lips Like the sound of a symphony to my ears Like holy water Chorus Your forgiveness Is like sweet, sweet honey on m y lips Like the sound of a symphony to m y ears Oh, it's like holy water on m y skin Yeah, it's like holy water on m y skin Oh, it's like holy water","['Adoration & Praise', 'Communion', 'Gods Attributes', 'Grace & Mercy']","['Isa 1.18', 'Eph 4.31-32', 'Micah 7.18-19']",https://www.worshiptogether.com/songs/holy-water-we-the-kingdom/
Run To The Father,"Intro Verse 1 I’ve carried a b urden For too long on m y own I wasn’t cre ated To bear it al one I hear Your invi tation To let it all g o I see it n ow I’m laying it d own I know th at I need You Chorus 1 I run to the Father I fall into g race I’m done with the h iding No reason to w ait My heart needs a s urgeon My soul needs a f riend So I’ll run to the F ather Again and a gain And again and ag ain Interlude ]Oh, Oh, Oh Verse 2 You saw my con dition Had a plan from the s tart Your Son for re demption The price for my heart I don’t have a context For that kind of love I don’t under stand I can’t compre hend All I know is I need You REPEAT CHORUS 1 & INTERLUDE X2 Bridge My heart has been in Your sights Long before my first b reath Running in to Your arms Is running to life from death I feel this rush deep in my chest Your mercy is calling out Just as I am You pull me in I know I need You now REPEAT CHORUS 1 Chorus 2 I run to the Father I fall into g race I’m done with the h iding No reason to w ait My heart found a s urgeon My soul found a f riend So I’ll run to the F ather Again and a gain And again and ag ain Outro Oh, Oh, again and a gain and again and a gain Oh, Oh, Oh, again and a gain","['Commitment & Dedication', 'Communion', 'Prayer & Renewal', 'Suffering & Trials']","['Matt 11.28-30', 'Luke 15. 17-20', 'Ps 40.11-16']",https://www.worshiptogether.com/songs/run-to-the-father-cody-carnes/
You Reign,"Intro Verse 1 Over this moment, in every season This is Your promise Jesus, You reign Jesus, You reign Verse 2 Over this city, over our families Under Your covering Jesus, You reign Jesus, You reign Chorus Our God reigns Our God reigns Hallel ujah, hallel ujah Our God reigns Verse 3 Over the nations, with all creation You own the heavens Jesus, You reign Jesus, You reign Verse 4 You own the victory, over the enemy With all authority Jesus, You reign Jesus, You reign REPEAT CHORUS COLUMN_BREAK Bridge Sickness will bo w I dols fall down It’s hap pening now At the na me of Jesus Darkness will run Hell’s over come It’s al ready done At the na me of Jesus REPEAT BRIDGE Instrumental REPEAT CHORUS Final Chorus Our God reigns Our God reigns Hallel ujah, hallel ujah Our God reigns","['Adoration & Praise', 'Call to Worship', 'Gods Attributes', 'Peace & Hope']","['Ps 146.10', 'Ps 97.1-12']",https://www.worshiptogether.com/songs/you-reign-mack-brock/
King Of Kings,"Intro Verse 1 In the d arkness we were w aiting Without ho pe without li ght Till from h eaven You came r unning There was m ercy in Your eyes To fu lfill the law and p rophets To a v irgin came the W ord From a th rone of endless gl ory To a cr adle in the d irt Chorus Praise the Father Praise the Son Praise the Spirit Three in One God of glory, Majesty Praise for ever to the King of Kings Verse 2 To re veal the kingdom coming And to r econcile the lost To re deem the whole cre ation You did not despise the cr oss For even in Your s uffering You saw to the other s ide Knowing this was our sal vation Jesus for our sake You d ied REPEAT CHORUS Verse 3 And the morning that You rose All of h eaven held its br eath Till that s tone was moved for g ood For the L amb had conquered d eath And the d ead rose from their t ombs And the angels stood in awe For the souls of all who’d come To the Father are rest ored Verse 4 And the Church of Christ was b orn Then the S pirit lit the fl ame Now this gospel truth of old Shall not kneel shall not f aint By His blood and in His Name In His fr eedom I am f ree For the l ove of Jesus Ch rist Who has re surrected me REPEAT CHORUS Outro Praise for ever to the King of Kings","['Adoration & Praise', 'Communion', 'Peace & Hope', 'Resurrection & Sacrifice', 'Easter']","['Luke 24.1-8', 'Acts 2.24-28', 'Acts 2.42-47']",https://www.worshiptogether.com/songs/king-of-kings-hillsong-worship/
Everlasting Light,"Intro Verse 1 You’re the ho rizon, the br ight The glimmer that br eaks the consta nt ni ght You are the bril liance, the dr eam Eviden ce of things unse en Chorus Even the da rkest days are te mporary You are the e verlast ing li ght All of the ti me and space co uld no t contain You You are the e verlast ing li ght Verse 2 You are the gl ory that st ays You never di m, You nev er fa de You are the po wer, the tr uth Nothing can st op You, nothing can st op You REPEAT CHORUS X2 Interlude Bridge The en d and the beginning, the ne w reality Outsi de my understanding, but st ill within my reach As fa r as I can see You, You’re cl oser still to me You are the e verlast ing li ght REPEAT BRIDGE X2 REPEAT CHORUS X2 Interlude Tag You are the e verlast ing li ght","['Faith & Trust', 'Gods Attributes', 'Grace & Mercy']","['Isa 60.20', 'John 8.12']",https://www.worshiptogether.com/songs/everlasting-light-mosaic-msc/
